,classe,diametro_nominal,parafusos_quantidade,parafusos_diametro,comprimento
0,150,"1/2""",4,"1/2""","2"""
1,150,"3/4""",4,"1/2""","2 1/4"""
2,150,"1""",4,"1/2""","2 1/4"""
3,150,"1 1/4""",4,"1/2""","2 1/2"""
4,150,"1 1/2""",4,"1/2""","2 1/2"""
5,150,"2""",4,"5/8""","2 3/4"""
6,150,"2 1/2""",4,"5/8""","3"""
7,150,"3""",4,"5/8""","3 1/4"""
8,150,"4""",8,"5/8""","3 1/4"""
9,150,"6""",8,"3/4""","3 1/2"""
10,150,"8""",8,"3/4""","3 3/4"""
11,150,"10""",12,"7/8""","4"""
12,150,"12""",12,"7/8""","4 1/4"""
13,150,"14""",12,"1""","4 1/2"""
14,150,"16""",16,"1""","4 3/4"""
15,150,"18""",16,"1 1/8""","5"""
16,150,"20""",20,"1 1/8""","5 1/2"""
17,150,"24""",20,"1 1/4""","6"""
